stream_row_id,engine_id,mission_id,timestamp_s,altitude_m,ambient_temp_C,pressure_kPa,air_density_kg_m3,throttle_pct,load_pct,rpm,air_mass_flow_kg_s,fuel_flow_kg_s,torque_Nm,power_W,cht_C,egt_C,oil_temperature_C,oil_pressure_bar,vibration_rms,battery_voltage_V,alternator_current_A,injection_timing_deg,expected_rpm,expected_cht_C,expected_egt_C,physics_residual_C
14,ENGINE_001,1,14,228.6,25.12,92.634,1.08195,70.0,67.41,2286.28,0.05769,0.004704,236.36,56589.9,129.9,658.91,72.34,3.783,0.704,27.979,41.05,24.768,2274.13,130.01,661.24,-0.11
15,ENGINE_001,1,15,243.84,25.12,92.076,1.07541,70.0,69.16,2292.95,0.0579,0.004855,244.57,58724.7,132.02,672.48,73.34,3.738,0.8178,27.902,40.79,24.704,2291.57,132.83,668.33,-0.81
16,ENGINE_001,1,16,259.08,25.13,91.522,1.0689,70.0,68.48,2280.25,0.05708,0.004775,240.74,57485.0,131.18,659.65,71.71,3.844,0.6846,27.83,39.47,24.659,2284.81,131.85,665.73,-0.67
17,ENGINE_001,1,17,274.32,25.14,90.97,1.06243,70.0,70.47,2301.33,0.05771,0.004922,245.42,59144.2,136.04,662.47,76.23,3.795,0.7021,27.927,41.6,24.635,2304.71,135.06,673.8,0.97
18,ENGINE_001,1,18,289.56,25.15,90.421,1.05599,70.0,68.64,2284.14,0.05652,0.004834,245.31,58677.4,131.54,664.77,73.47,3.754,0.8582,27.981,39.88,24.523,2286.38,132.26,666.57,-0.72
19,ENGINE_001,1,19,304.8,25.16,89.875,1.04958,70.0,67.88,2281.78,0.05595,0.004663,238.99,57105.6,131.03,665.86,73.06,3.796,0.7853,28.067,42.16,24.823,2278.82,131.15,663.65,-0.12
20,ENGINE_001,1,20,320.04,25.17,89.331,1.0432,70.0,72.2,2325.64,0.05764,0.005213,260.43,63425.1,141.06,685.83,76.21,3.836,0.6218,28.019,43.2,24.831,2321.98,138.02,681.03,3.04
21,ENGINE_001,1,21,335.28,25.17,88.79,1.03685,70.0,69.66,2292.6,0.05593,0.004934,240.19,57665.9,132.12,669.13,73.73,3.79,0.7052,28.161,41.5,24.512,2296.61,134.11,670.99,-1.99
22,ENGINE_001,1,22,350.52,25.18,88.251,1.03053,70.0,70.1,2300.84,0.05588,0.005034,245.04,59039.9,132.3,671.21,74.49,3.89,0.636,27.896,42.39,24.808,2301.01,134.89,672.85,-2.59
23,ENGINE_001,1,23,365.76,25.19,87.716,1.02425,70.0,67.86,2293.62,0.05488,0.004658,239.04,57414.9,132.55,668.62,71.74,3.764,0.6749,28.088,40.42,24.776,2278.63,131.45,664.0,1.1
24,ENGINE_001,1,24,381.0,25.2,87.182,1.018,70.0,69.18,2303.93,0.05508,0.00473,247.03,59600.3,132.66,661.91,75.53,3.778,0.5539,28.005,41.52,24.711,2291.83,133.61,669.39,-0.95
25,ENGINE_001,1,25,396.24,25.21,86.652,1.01177,70.0,70.17,2304.72,0.05497,0.004988,248.19,59900.5,134.79,671.88,73.88,3.798,0.7385,28.069,42.53,24.91,2301.66,135.23,673.43,-0.45
26,ENGINE_001,1,26,411.48,25.22,86.124,1.00558,70.0,68.27,2283.0,0.05372,0.004846,241.11,57643.6,131.25,666.73,72.53,3.803,0.6604,27.956,40.73,24.701,2282.74,132.34,665.97,-1.09
27,ENGINE_001,1,27,426.72,25.22,85.599,0.99942,70.0,70.56,2306.48,0.05442,0.005081,245.0,59174.7,135.66,677.03,74.8,3.733,0.7529,28.107,40.91,24.557,2305.64,136.02,675.23,-0.36
28,ENGINE_001,1,28,441.96,25.23,85.076,0.99329,70.0,69.1,2295.29,0.05352,0.004868,239.72,57620.0,136.04,667.44,74.86,3.696,0.6404,28.03,39.03,24.738,2290.99,133.8,669.48,2.24
29,ENGINE_001,1,29,457.2,25.24,84.556,0.98719,70.0,69.56,2288.47,0.05313,0.004889,245.63,58865.7,135.74,671.58,74.36,3.743,0.7418,27.932,40.79,24.734,2295.62,134.61,671.44,1.12
30,ENGINE_001,1,30,472.44,25.25,84.038,0.98112,70.0,69.1,2289.13,0.05272,0.004895,239.0,57291.8,135.17,659.74,73.14,3.7,0.7103,27.999,41.55,24.621,2290.93,133.96,669.69,1.21
31,ENGINE_001,1,31,487.68,25.26,83.524,0.97508,70.0,72.78,2316.02,0.05378,0.005232,254.51,61728.0,137.85,681.89,77.85,3.793,0.8532,27.976,42.78,24.847,2327.7,139.83,684.52,-1.98
32,ENGINE_001,1,32,502.92,25.27,83.011,0.96908,70.0,69.98,2302.47,0.05256,0.00498,247.82,59753.0,133.9,675.25,75.27,3.81,0.8296,28.049,41.5,24.514,2299.68,135.51,673.43,-1.61
33,ENGINE_001,1,33,518.16,25.27,82.501,0.9631,70.0,68.41,2288.5,0.0516,0.004804,237.8,56988.4,129.16,663.34,73.9,3.73,0.7791,27.882,39.98,24.797,2283.97,133.13,667.27,-3.97
34,ENGINE_001,1,34,533.4,25.28,81.994,0.95715,70.0,71.23,2308.76,0.05231,0.005149,255.52,61778.3,136.51,678.9,76.3,3.74,0.7336,27.997,39.39,24.637,2312.14,137.65,678.66,-1.13
35,ENGINE_001,1,35,548.64,25.29,81.489,0.95123,70.0,68.17,2292.47,0.05101,0.004878,243.64,58490.3,134.25,668.29,75.05,3.776,0.8518,28.04,39.96,24.554,2281.45,132.91,666.51,1.34
36,ENGINE_001,1,36,563.88,25.3,80.987,0.94534,70.0,70.31,2294.27,0.05116,0.005015,242.61,58288.6,137.09,673.82,76.64,3.812,0.6495,28.003,40.79,24.708,2302.85,136.36,675.19,0.72
37,ENGINE_001,1,37,579.12,25.31,80.487,0.93948,70.0,67.06,2260.03,0.04945,0.004604,232.88,55116.6,131.02,662.97,72.05,3.652,0.6291,28.135,39.81,24.699,2270.28,131.33,662.29,-0.31
38,ENGINE_001,1,38,594.36,25.31,79.99,0.93365,70.0,68.01,2281.29,0.04979,0.004734,232.39,55516.4,132.87,662.33,74.45,3.789,0.7219,28.077,41.02,24.688,2279.72,132.9,666.18,-0.03
39,ENGINE_001,1,39,609.6,25.32,79.495,0.92785,70.0,70.3,2309.88,0.05055,0.004914,245.17,59303.6,135.61,674.61,75.43,3.835,0.8849,27.999,43.07,24.632,2302.55,136.58,675.44,-0.96
40,ENGINE_001,1,40,624.84,25.33,79.003,0.92208,70.0,71.11,2322.42,0.05067,0.005056,252.8,61480.9,138.22,681.24,76.18,3.86,0.7466,28.022,41.46,24.679,2310.64,137.94,678.8,0.29
41,ENGINE_001,1,41,640.08,25.34,78.513,0.91634,70.0,70.26,2298.88,0.04968,0.004972,245.97,59213.3,137.75,676.13,73.99,3.834,0.7335,28.03,40.86,24.584,2302.09,136.68,675.5,1.07
42,ENGINE_001,1,42,655.32,25.35,78.026,0.91063,70.0,69.83,2305.3,0.04942,0.004918,247.22,59681.7,133.82,671.54,74.73,3.885,0.6591,28.04,40.69,24.683,2297.75,136.09,673.88,-2.26
43,ENGINE_001,1,43,670.56,25.35,77.541,0.90494,70.0,69.55,2294.65,0.04883,0.004917,240.15,57707.2,136.15,673.77,74.08,3.762,0.7963,27.817,40.99,24.833,2294.92,135.73,672.88,0.42
44,ENGINE_001,1,44,685.8,25.36,77.058,0.89929,70.0,67.78,2276.01,0.0478,0.004672,240.79,57389.9,134.34,668.78,73.84,3.752,0.7808,27.97,39.51,24.663,2277.22,133.04,665.92,1.31
45,ENGINE_001,1,45,701.04,25.37,76.578,0.89366,70.0,68.92,2294.75,0.04811,0.00489,240.91,57891.6,134.33,662.38,74.94,3.76,0.7843,27.852,40.8,24.793,2288.56,134.91,670.58,-0.58
46,ENGINE_001,1,46,716.28,25.38,76.101,0.88807,70.0,69.31,2296.98,0.04793,0.004883,243.97,58685.2,136.58,676.88,73.07,3.781,0.7019,28.128,41.24,24.873,2292.41,135.6,672.24,0.98
47,ENGINE_001,1,47,731.52,25.39,75.626,0.8825,70.0,71.59,2304.1,0.0482,0.005142,251.55,60696.4,143.2,680.11,76.35,3.855,0.7102,27.994,41.69,24.68,2315.14,139.26,681.45,3.94
48,ENGINE_001,1,48,746.76,25.4,75.153,0.87696,70.0,70.52,2314.73,0.04792,0.005006,244.53,59273.9,137.51,678.98,76.31,3.753,0.6752,27.981,41.61,24.704,2304.39,137.66,677.28,-0.15
49,ENGINE_001,1,49,762.0,25.4,74.683,0.87144,70.0,67.36,2282.42,0.04638,0.004668,233.58,55828.1,133.32,669.53,72.89,3.722,0.7297,28.09,40.64,24.914,2272.75,132.77,664.74,0.55
50,ENGINE_001,1,50,777.24,25.41,74.215,0.86596,70.0,70.49,2299.64,0.047,0.005055,250.91,60422.6,136.74,671.89,76.05,3.842,0.681,28.042,39.37,24.899,2304.02,137.78,677.37,-1.03
51,ENGINE_001,1,51,792.48,25.42,73.749,0.8605,70.0,69.42,2296.11,0.04644,0.004857,245.51,59032.0,136.44,670.39,74.96,3.821,0.6691,27.887,41.46,24.5,2293.34,136.18,673.22,0.25
52,ENGINE_001,1,52,807.72,25.43,73.286,0.85508,70.0,68.98,2292.38,0.046,0.004817,245.91,59031.7,136.22,670.43,74.62,3.758,0.7107,27.993,40.02,24.738,2288.93,135.58,671.58,0.64
53,ENGINE_001,1,53,822.96,25.44,72.825,0.84968,70.0,70.92,2310.04,0.04641,0.005053,250.62,60626.6,138.97,676.28,75.76,3.836,0.723,27.966,40.18,24.735,2308.22,138.7,679.42,0.27
54,ENGINE_001,1,54,838.2,25.44,72.366,0.8443,70.0,71.55,2310.61,0.04624,0.005077,252.23,61032.5,138.34,688.98,75.62,3.816,0.7231,27.826,40.36,24.849,2314.46,139.77,682.04,-1.43
55,ENGINE_001,1,55,853.44,25.45,71.91,0.83896,70.0,71.4,2308.23,0.04587,0.005084,246.08,59481.1,139.9,678.12,75.59,3.86,0.7816,27.931,41.85,24.657,2312.93,139.61,681.55,0.29
56,ENGINE_001,1,56,868.68,25.46,71.456,0.83364,70.0,68.74,2286.15,0.04468,0.004798,241.01,57700.2,137.57,668.81,74.77,3.766,0.737,27.982,40.4,24.585,2286.33,135.52,671.03,2.05
57,ENGINE_001,1,57,883.92,25.47,71.005,0.82835,70.0,69.54,2302.45,0.04485,0.004949,244.72,59004.6,137.48,675.14,74.94,3.832,0.7258,27.989,39.18,24.623,2294.24,136.85,674.32,0.63
58,ENGINE_001,1,58,899.16,25.48,70.555,0.82309,70.0,70.5,2307.61,0.04483,0.005031,254.03,61386.4,139.79,673.46,75.62,3.907,0.7605,27.852,41.63,24.657,2303.81,138.44,678.27,1.35
59,ENGINE_001,1,59,914.4,25.48,70.109,0.81785,70.0,71.46,2310.84,0.04478,0.005138,253.59,61365.4,139.71,680.66,76.21,3.827,0.6956,28.115,40.0,24.846,2313.43,140.04,682.24,-0.33
60,ENGINE_001,1,60,929.64,25.49,69.664,0.81265,70.0,69.28,2296.97,0.04385,0.00492,248.45,59761.9,137.75,674.89,74.57,3.782,0.7458,27.99,40.92,24.556,2291.57,136.7,673.62,1.05
61,ENGINE_001,1,61,944.88,25.5,69.222,0.80746,70.0,69.72,2276.0,0.04325,0.004925,246.8,58823.2,137.86,674.15,75.88,3.777,0.741,28.004,41.15,24.633,2295.94,137.47,675.48,0.39
62,ENGINE_001,1,62,960.12,25.51,68.781,0.80231,70.0,68.34,2290.13,0.04301,0.004792,238.39,57170.2,134.05,669.69,73.83,3.754,0.6422,28.04,41.39,24.462,2282.08,135.38,670.07,-1.33
63,ENGINE_001,1,63,975.36,25.51,68.344,0.79718,70.0,68.21,2268.52,0.04231,0.004754,240.07,57030.7,135.69,667.52,73.04,3.834,0.7818,27.921,42.24,24.794,2280.7,135.25,669.63,0.45
64,ENGINE_001,1,64,990.6,25.52,67.908,0.79208,70.0,71.22,2308.25,0.04328,0.005113,251.36,60757.5,138.68,675.74,76.93,3.806,0.7,28.046,40.0,24.895,2310.79,140.07,681.79,-1.39
65,ENGINE_001,1,65,1005.84,25.53,67.475,0.78701,70.0,72.03,2311.07,0.04319,0.005168,250.66,60664.3,140.54,686.45,76.93,3.791,0.763,27.963,41.56,24.722,2318.9,141.43,685.16,-0.89
66,ENGINE_001,1,66,1021.08,25.54,67.044,0.78196,70.0,69.89,2288.38,0.04214,0.00484,244.64,58624.6,138.41,683.72,75.41,3.732,0.8081,27.91,40.69,24.676,2297.44,138.14,676.7,0.27
67,ENGINE_001,1,67,1036.32,25.55,66.615,0.77694,70.0,71.51,2321.66,0.04274,0.005128,251.23,61079.4,141.18,683.33,77.82,3.865,0.8157,28.057,41.89,24.803,2313.53,140.76,683.26,0.42
68,ENGINE_001,1,68,1051.56,25.55,66.188,0.77194,70.0,70.54,2300.59,0.04193,0.005089,253.03,60958.6,137.66,680.41,75.93,3.822,0.7486,28.149,41.38,24.904,2303.86,139.33,679.51,-1.66
69,ENGINE_001,1,69,1066.8,25.56,65.764,0.76697,70.0,69.03,2291.15,0.04124,0.004895,236.66,56780.8,138.51,676.35,74.95,3.751,0.714,28.072,40.36,24.741,2288.72,137.04,673.58,1.48
70,ENGINE_001,1,70,1082.04,25.57,65.342,0.76203,70.0,70.54,2303.45,0.04144,0.005069,251.87,60756.0,140.29,674.65,75.15,3.815,0.8047,28.092,40.72,24.643,2303.78,139.49,679.72,0.8
71,ENGINE_001,1,71,1097.28,25.58,64.922,0.75711,70.0,72.31,2324.73,0.04184,0.005282,251.83,61306.6,141.36,693.7,77.26,3.762,0.8054,27.948,40.58,24.573,2321.39,142.34,686.89,-0.99
72,ENGINE_001,1,72,1112.52,25.58,64.504,0.75222,70.0,69.95,2298.28,0.04072,0.004961,242.02,58248.1,136.56,678.36,75.97,3.79,0.7058,27.84,41.97,24.579,2297.74,138.71,677.55,-2.15
73,ENGINE_001,1,73,1127.76,25.59,64.089,0.74735,70.0,72.35,2312.73,0.04109,0.005239,258.12,62513.2,142.37,693.79,76.39,3.824,0.712,28.149,42.16,24.777,2321.71,142.57,687.26,-0.2
74,ENGINE_001,1,74,1143.0,25.6,63.675,0.74251,70.0,66.07,2265.88,0.03903,0.004489,234.59,55664.3,132.16,659.33,72.61,3.802,0.5874,28.205,40.74,24.546,2258.9,132.79,662.26,-0.62
75,ENGINE_001,1,75,1158.24,25.61,63.264,0.7377,70.0,71.23,2307.03,0.04029,0.005089,254.44,61470.3,141.14,690.29,76.69,3.764,0.7616,28.154,41.06,24.766,2310.49,140.98,683.02,0.16
76,ENGINE_001,1,76,1173.48,25.61,62.855,0.73291,70.0,70.13,2288.53,0.03953,0.005006,249.01,59676.4,138.82,681.81,75.79,3.714,0.7344,27.966,40.38,24.651,2299.43,139.33,678.71,-0.51
77,ENGINE_001,1,77,1188.72,25.62,62.448,0.72815,70.0,69.55,2290.6,0.03922,0.004967,250.84,60170.0,135.69,678.72,76.04,3.733,0.8059,27.885,39.79,24.577,2293.59,138.5,676.5,-2.81
78,ENGINE_001,1,78,1203.96,25.63,62.043,0.72341,70.0,70.14,2309.92,0.03939,0.004973,248.65,60147.7,138.96,679.89,76.03,3.746,0.7705,27.893,41.4,24.576,2299.42,139.5,678.95,-0.54
79,ENGINE_001,1,79,1219.2,25.64,61.64,0.71869,70.0,67.02,2274.14,0.03806,0.004604,235.29,56033.3,134.25,665.59,74.36,3.8,0.7996,27.832,39.07,24.834,2268.19,134.68,666.58,-0.43
80,ENGINE_001,1,80,1234.44,25.64,61.24,0.71401,70.0,69.67,2292.22,0.03851,0.004926,246.13,59080.1,139.82,682.1,74.77,3.837,0.6972,27.989,42.75,24.813,2294.66,138.93,677.3,0.89
81,ENGINE_001,1,81,1249.68,25.65,60.841,0.70934,70.0,70.54,2300.83,0.03853,0.005052,251.92,60698.6,139.39,681.43,76.27,3.8,0.8149,28.161,39.85,24.934,2303.28,140.37,680.86,-0.98
82,ENGINE_001,1,82,1264.92,25.66,60.445,0.7047,70.0,72.22,2317.8,0.03881,0.00515,251.88,61135.8,145.44,679.83,77.59,3.864,0.7297,27.986,41.94,24.83,2320.05,143.09,687.7,2.35
83,ENGINE_001,1,83,1280.16,25.67,60.05,0.70009,70.0,69.22,2304.6,0.03789,0.004771,241.81,58357.2,135.79,671.36,74.41,3.798,0.7893,28.03,42.33,24.645,2290.07,138.47,675.82,-2.68
84,ENGINE_001,1,84,1295.4,25.67,59.658,0.6955,70.0,68.79,2288.35,0.03732,0.004801,241.09,57773.8,139.7,673.45,75.49,3.763,0.646,28.138,41.24,24.845,2285.67,137.87,674.19,1.84
85,ENGINE_001,1,85,1310.64,25.68,59.268,0.69093,70.0,69.25,2293.24,0.03722,0.004823,237.35,56999.9,138.36,677.38,76.84,3.761,0.7518,27.96,40.95,24.693,2290.23,138.67,676.14,-0.31
86,ENGINE_001,1,86,1325.88,25.69,58.88,0.68639,70.0,71.37,2318.66,0.03769,0.005097,251.76,61129.4,143.3,684.52,76.92,3.802,0.6391,28.204,40.44,24.772,2311.45,142.09,684.74,1.2
87,ENGINE_001,1,87,1341.12,25.7,58.494,0.68188,70.0,70.49,2304.28,0.03709,0.005013,242.44,58502.4,140.9,686.21,76.59,3.728,0.7319,28.199,39.77,24.72,2302.61,140.79,681.33,0.11
88,ENGINE_001,1,88,1356.36,25.7,58.11,0.67738,70.0,69.21,2287.88,0.0364,0.004853,243.6,58362.6,140.44,668.48,75.29,3.777,0.7615,27.987,41.53,24.342,2289.69,138.85,676.29,1.6
89,ENGINE_001,1,89,1371.6,25.71,57.728,0.67292,70.0,70.77,2303.92,0.03663,0.005118,251.64,60711.7,140.84,683.22,76.0,3.79,0.7177,27.942,42.74,24.924,2305.3,141.39,682.65,-0.54
90,ENGINE_001,1,90,1386.84,25.72,57.348,0.66847,70.0,70.15,2298.51,0.03622,0.004996,245.39,59065.3,138.95,672.99,74.74,3.814,0.6809,28.07,40.6,24.777,2299.02,140.49,680.26,-1.54
91,ENGINE_001,1,91,1402.08,25.73,56.971,0.66405,70.0,71.45,2311.79,0.03637,0.005143,256.54,62104.9,144.61,688.63,76.58,3.808,0.8062,27.965,40.3,24.787,2312.05,142.62,685.59,1.99
92,ENGINE_001,1,92,1417.32,25.73,56.595,0.65965,70.0,68.95,2292.04,0.03547,0.004873,238.24,57182.9,138.61,675.3,74.11,3.766,0.7296,27.884,38.23,24.683,2286.95,138.76,675.67,-0.16
93,ENGINE_001,1,93,1432.56,25.74,56.221,0.65528,70.0,69.51,2292.89,0.03533,0.004857,248.13,59578.0,140.04,679.71,76.75,3.738,0.7092,28.128,39.87,24.723,2292.53,139.73,678.03,0.31
94,ENGINE_001,1,94,1447.8,25.75,55.849,0.65093,70.0,69.41,2296.65,0.03514,0.004945,246.31,59238.3,141.39,674.29,75.41,3.783,0.7424,28.122,40.71,24.629,2291.52,139.66,677.75,1.73
95,ENGINE_001,1,95,1463.04,25.76,55.479,0.64661,70.0,67.8,2274.84,0.03436,0.004711,233.3,55577.6,135.77,676.54,73.98,3.776,0.8814,28.016,41.94,24.738,2275.41,137.21,671.42,-1.44
96,ENGINE_001,1,96,1478.28,25.76,55.112,0.6423,70.0,70.44,2302.31,0.0349,0.005046,256.03,61729.3,142.27,686.25,76.97,3.742,0.8161,27.874,41.81,24.568,2301.76,141.44,682.09,0.83
97,ENGINE_001,1,97,1493.52,25.77,54.746,0.63803,70.0,70.39,2287.21,0.03443,0.00496,247.29,59229.1,140.61,684.32,75.54,3.769,0.8096,27.877,41.42,24.746,2301.2,141.44,681.98,-0.83
98,ENGINE_001,1,98,1508.76,25.78,54.382,0.63377,70.0,70.01,2303.73,0.0344,0.004895,243.8,58815.9,140.73,680.03,75.5,3.801,0.7718,28.011,40.6,24.782,2297.32,140.92,680.55,-0.19
99,ENGINE_001,1,99,1524.0,25.78,54.02,0.62954,70.0,69.65,2296.11,0.03401,0.004962,240.86,57914.4,140.53,681.54,75.81,3.749,0.7507,27.95,40.31,24.682,2293.68,140.43,679.22,0.1
100,ENGINE_001,1,100,1539.24,25.79,53.66,0.62533,70.0,67.88,2282.92,0.03335,0.00474,238.16,56937.0,135.63,669.41,75.08,3.734,0.5834,27.966,41.77,24.71,2275.93,137.73,672.24,-2.1
101,ENGINE_001,1,101,1554.48,25.8,53.302,0.62114,70.0,69.37,2270.54,0.03314,0.004852,243.34,57858.1,139.06,681.74,75.92,3.748,0.6872,28.102,41.01,24.581,2290.81,140.15,678.31,-1.09
102,ENGINE_001,1,102,1569.72,25.81,52.946,0.61698,70.0,69.49,2306.56,0.03346,0.004867,245.0,59178.4,142.31,685.49,75.86,3.749,0.7158,28.073,38.74,24.587,2291.94,140.42,678.89,1.89
103,ENGINE_001,1,103,1584.96,25.81,52.592,0.61283,70.0,68.8,2284.03,0.03282,0.004879,241.09,57664.1,140.66,680.52,75.2,3.774,0.6191,28.138,39.97,24.715,2285.01,139.42,676.24,1.24
104,ENGINE_001,1,104,1600.2,25.82,52.239,0.60872,70.0,69.76,2302.34,0.03299,0.004883,247.46,59662.0,140.92,677.27,76.21,3.752,0.6745,27.901,40.07,24.79,2294.58,141.01,680.19,-0.09
105,ENGINE_001,1,105,1615.44,25.83,51.889,0.60462,70.0,70.61,2295.74,0.03278,0.005109,247.19,59425.9,142.76,685.13,76.77,3.822,0.6258,27.966,40.64,24.503,2303.02,142.42,683.69,0.34
106,ENGINE_001,1,106,1630.68,25.83,51.541,0.60055,70.0,72.83,2329.5,0.03332,0.005246,250.7,61157.2,145.58,687.51,77.7,3.929,0.767,28.076,42.41,24.842,2325.21,145.99,692.68,-0.41
107,ENGINE_001,1,107,1645.92,25.84,51.194,0.59649,70.0,70.26,2292.12,0.03224,0.005024,246.67,59207.6,143.94,684.81,76.41,3.737,0.7906,28.045,40.97,24.655,2299.5,142.04,682.52,1.9
108,ENGINE_001,1,108,1661.16,25.85,50.85,0.59246,70.0,70.39,2296.34,0.0321,0.004994,240.51,57834.8,142.04,684.93,75.74,3.802,0.8103,28.153,41.04,24.7,2300.7,142.32,683.12,-0.28
109,ENGINE_001,1,109,1676.4,25.85,50.507,0.58846,70.0,69.89,2309.08,0.032,0.00498,247.17,59767.8,141.94,673.76,76.17,3.77,0.7724,28.042,42.28,24.551,2295.68,141.61,681.24,0.32
110,ENGINE_001,1,110,1691.64,25.86,50.166,0.58447,70.0,67.12,2266.64,0.03086,0.004613,233.06,55318.5,138.95,665.63,73.58,3.775,0.6588,28.185,39.44,24.546,2267.98,137.35,670.28,1.6
111,ENGINE_001,1,111,1706.88,25.87,49.827,0.58051,70.0,69.96,2297.84,0.03142,0.004953,246.67,59355.3,140.8,680.6,77.98,3.729,0.6269,28.054,42.85,24.829,2296.32,141.89,681.73,-1.09
112,ENGINE_001,1,112,1722.12,25.87,49.49,0.57657,70.0,70.09,2303.67,0.0313,0.004978,250.66,60468.5,144.36,681.16,76.29,3.811,0.6406,28.106,40.36,24.72,2297.58,142.17,682.36,2.18
113,ENGINE_001,1,113,1737.36,25.88,49.154,0.57265,70.0,73.69,2337.06,0.03198,0.00534,256.75,62835.9,145.78,692.05,78.23,3.808,0.7003,27.968,42.2,24.753,2333.59,147.92,696.88,-2.14
114,ENGINE_001,1,114,1752.6,25.89,48.821,0.56875,70.0,69.71,2294.77,0.03071,0.004966,248.46,59707.0,144.02,682.61,75.95,3.768,0.687,28.001,40.63,24.694,2293.71,141.74,681.06,2.28
115,ENGINE_001,1,115,1767.84,25.89,48.489,0.56488,70.0,70.45,2303.64,0.03071,0.004994,246.65,59501.3,142.46,685.13,77.02,3.748,0.7379,28.091,41.26,24.783,2301.08,142.98,684.12,-0.52
116,ENGINE_001,1,116,1783.08,25.9,48.16,0.56102,70.0,69.95,2312.82,0.03056,0.004949,251.63,60945.3,141.93,681.44,77.44,3.84,0.6886,28.161,41.43,24.766,2296.0,142.27,682.21,-0.34
117,ENGINE_001,1,117,1798.32,25.91,47.832,0.55719,70.0,68.25,2278.55,0.02971,0.004721,238.92,57009.1,137.03,672.49,74.51,3.717,0.7471,28.073,40.91,24.665,2278.95,139.68,675.51,-2.65
118,ENGINE_001,1,118,1813.56,25.91,47.505,0.55338,70.0,71.71,2314.99,0.03038,0.005044,249.93,60589.3,144.57,693.68,76.6,3.832,0.7441,27.992,40.76,24.885,2313.58,145.21,689.49,-0.64
